,device,devId,productKey,message,sensorType,group,userAction,activityUserAction,timeStamp,space
0,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_SEX,2024-09-20 00:00:00.432327,QUARTO
1,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'ON'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_SEX,2024-09-20 00:00:05.857863,QUARTO
2,QUARTO_PLUG_01-003,dispe3d457f8ccadfa505c7579f0d2a7f630,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'ON'}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_SEX,2024-09-20 00:00:10.487574,QUARTO
3,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'OFF'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,IR_NA_VARANDA,2024-09-20 00:01:06.746804,QUARTO
4,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,['Mayki'],Mayki,IR_NA_VARANDA,2024-09-20 00:01:06.680467,QUARTO
5,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_SEX,2024-09-20 00:11:06.047243,QUARTO
6,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'ON'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_SEX,2024-09-20 00:11:11.365039,QUARTO
7,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'OFF'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,IR_NA_VARANDA,2024-09-20 00:11:21.190268,QUARTO
8,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,['Mayki'],Mayki,IR_NA_VARANDA,2024-09-20 00:11:21.529028,QUARTO
9,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_SEX,2024-09-20 00:21:21.268538,QUARTO
10,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'ON'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_SEX,2024-09-20 00:21:26.009405,QUARTO
11,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'OFF'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_SEX,2024-09-20 00:57:21.172720,QUARTO
12,QUARTO_PLUG_01-003,dispe3d457f8ccadfa505c7579f0d2a7f630,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'OFF'}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_SEX,2024-09-20 00:57:56.113281,QUARTO
13,QUARTO_PLUG_02-004,disp4af167c9d4df8acd2894e2f77c7aec28,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'ON'}]}",atuador,['Mayki'],Mayki,DORMIR,2024-09-20 00:58:01.183664,QUARTO
14,QUARTO_PLUG_02-004,disp4af167c9d4df8acd2894e2f77c7aec28,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'OFF'}]}",atuador,['Mayki'],Mayki,DORMIR_30M,2024-09-20 08:34:06.697598,QUARTO
15,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,['Mayki'],Mayki,DORMIR_30M,2024-09-20 08:34:06.679603,QUARTO
16,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,['Mayki'],Mayki,FAZER_NADA_DIA,2024-09-20 08:42:06.936429,QUARTO
17,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,['Mayki'],Mayki,FAZER_NADA_DIA,2024-09-20 09:04:04.049974,QUARTO
18,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,['Mayki'],Mayki,FAZER_NADA_NOITE,2024-09-20 17:41:59.013921,QUARTO
19,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'ON'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,FAZER_NADA_NOITE,2024-09-20 17:42:04.030556,QUARTO
20,QUARTO_PLUG_01-003,dispe3d457f8ccadfa505c7579f0d2a7f630,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'ON'}]}",atuador,['Mayki'],Mayki,USAR_PC_NOITE_VAZIO,2024-09-20 17:53:31.540509,QUARTO
21,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'OFF'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,USAR_PC_NOITE_VAZIO,2024-09-20 20:02:07.121994,QUARTO
22,QUARTO_PLUG_01-003,dispe3d457f8ccadfa505c7579f0d2a7f630,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'OFF'}]}",atuador,['Mayki'],Mayki,USAR_PC_NOITE_VAZIO,2024-09-20 20:02:36.009863,QUARTO
23,QUARTO_PLUG_02-004,disp4af167c9d4df8acd2894e2f77c7aec28,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'ON'}]}",atuador,['Mayki'],Mayki,DORMIR_NOITE_FIM,2024-09-20 20:02:41.229586,QUARTO
24,QUARTO_PLUG_02-004,disp4af167c9d4df8acd2894e2f77c7aec28,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'OFF'}]}",atuador,['Mayki'],Mayki,DORMIR_NOITE_FIM,2024-09-21 00:00:42.873407,QUARTO
25,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'ON'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_30M,2024-09-21 00:01:08.239439,QUARTO
26,QUARTO_PLUG_01-003,dispe3d457f8ccadfa505c7579f0d2a7f630,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'ON'}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_30M,2024-09-21 00:01:13.613054,QUARTO
27,QUARTO_LAMPADA-001,dispf34127e9d687887832c76c7fed087a61,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'OFF'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_30M,2024-09-21 01:07:25.175948,QUARTO
28,QUARTO_PLUG_01-003,dispe3d457f8ccadfa505c7579f0d2a7f630,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'OFF'}]}",atuador,['Mayki'],Mayki,USAR_PC_MADRUGADA_INICIO_30M,2024-09-21 01:08:04.524708,QUARTO
29,QUARTO_PLUG_02-004,disp4af167c9d4df8acd2894e2f77c7aec28,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'ON'}]}",atuador,['Mayki'],Mayki,DORMIR_FIM_SEM,2024-09-21 01:08:09.123733,QUARTO
30,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,['Mayki'],Mayki,USAR_BANHEIRO,2024-09-21 08:18:14.614837,QUARTO
31,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,['Mayki'],Mayki,DORMIR_FIM_SEM,2024-09-21 08:23:14.503457,QUARTO
32,QUARTO_PLUG_02-004,disp4af167c9d4df8acd2894e2f77c7aec28,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'OFF'}]}",atuador,['Mayki'],Mayki,DORMIR_FIM_SEM,2024-09-21 09:18:54.071237,QUARTO
33,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,['Mayki'],Mayki,DORMIR_FIM_SEM,2024-09-21 09:18:54.387282,QUARTO
34,QUARTO_SENSOR_PRESENCA-002,dispcb84ddaedb893afc1d478e18a6a44419,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,['Mayki'],Mayki,USAR_PC_MANHA,2024-09-21 09:26:54.897440,QUARTO
35,QUARTO_PLUG_01-003,dispe3d457f8ccadfa505c7579f0d2a7f630,3s2d1f0sdf1sdf18s79sddf,"{'status': [{'code': 'switch_1', 'value': 'ON'}]}",atuador,['Mayki'],Mayki,USAR_PC_MANHA,2024-09-21 09:26:59.562116,QUARTO
