,device,devId,productKey,message,sensorType,group,userAction,activityUserAction,timeStamp,space
0,QUARTO_01_SENSOR_PRESENCA-009,disp0eab5aec3e1754e3617402aabda67a1b,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Andre,ACORDAR_QUARTO_01,2024-09-20 00:00:00.264661,QUARTO_01
1,QUARTO_02_SENSOR_PRESENCA-013,disp19d98bb3c39ebde5faba20a3d40390e8,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,ACORDAR_QUARTO_02,2024-09-20 00:00:00.846175,QUARTO_02
2,QUARTO_01_AR_CONDICIONADO-007,disp18a2fbd7bb103309ff355641581b0265,s45f3s6f890sdfs876f8sd7d,"{'status': [{'code': 'switch', 'value': 'ON'}, {'code': 'temp_set', 'value': 23}, {'code': 'mode', 'value': 'AUTO'}]}",atuador,"['Andre', 'Vinicius']",Andre,ACORDAR_QUARTO_01,2024-09-20 00:00:05.311248,QUARTO_01
3,QUARTO_02_AR_CONDICIONADO-011,disp12d66aea27fe15ee30653de92d4c5fa1,s45f3s6f890sdfs876f8sd7d,"{'status': [{'code': 'switch', 'value': 'ON'}, {'code': 'temp_set', 'value': 23}, {'code': 'mode', 'value': 'AUTO'}]}",atuador,"['Andre', 'Vinicius']",Vinicius,ACORDAR_QUARTO_02,2024-09-20 00:00:05.964209,QUARTO_02
4,QUARTO_01_AR_CONDICIONADO-007,disp18a2fbd7bb103309ff355641581b0265,s45f3s6f890sdfs876f8sd7d,"{'status': [{'code': 'switch', 'value': 'OFF'}, {'code': 'temp_set', 'value': 23}, {'code': 'mode', 'value': 'AUTO'}]}",atuador,"['Andre', 'Vinicius']",Andre,ACORDAR_QUARTO_01,2024-09-20 07:01:38.601802,QUARTO_01
5,QUARTO_01_SENSOR_PRESENCA-009,disp0eab5aec3e1754e3617402aabda67a1b,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,"['Andre', 'Vinicius']",Andre,ACORDAR_QUARTO_01,2024-09-20 07:01:50.757695,QUARTO_01
6,SALA_SENSOR_PRESENCA-003,disp2414e15a44146d1fbbcd2e0da20d8cfa,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Andre,USAR_BANHEIRO,2024-09-20 07:01:50.197184,SALA
7,SALA_SENSOR_PRESENCA-003,disp2414e15a44146d1fbbcd2e0da20d8cfa,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,"['Andre', 'Vinicius']",Andre,USAR_BANHEIRO,2024-09-20 07:01:53.998255,SALA
8,CORREDOR_SENSOR_PRESENCA-021,disp91e9f8460c0e802cb3aeaceaabc880c6,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Andre,USAR_BANHEIRO,2024-09-20 07:01:53.519891,CORREDOR
9,CORREDOR_SENSOR_PRESENCA-021,disp91e9f8460c0e802cb3aeaceaabc880c6,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,"['Andre', 'Vinicius']",Andre,USAR_BANHEIRO,2024-09-20 07:01:55.451379,CORREDOR
10,BANHEIRO_SENSOR_PRESENCA-005,dispe3ebeb29a1fbbe27fe6f6486d26bdeb0,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Andre,USAR_BANHEIRO,2024-09-20 07:01:55.328941,BANHEIRO
11,BANHEIRO_LAMPADA-004,disp05f72682660e0d7279afe7dd279cf222,435a6fsdfsdfs879s9fs7,"{'status': [{'code': 'switch_led', 'value': 'ON'}, {'code': 'bright_value_v2', 'value': 1000}, {'code': 'temp_value_v2', 'value': 500}]}",atuador,"['Andre', 'Vinicius']",Andre,USAR_BANHEIRO,2024-09-20 07:02:00.220897,BANHEIRO
12,QUARTO_02_AR_CONDICIONADO-011,disp12d66aea27fe15ee30653de92d4c5fa1,s45f3s6f890sdfs876f8sd7d,"{'status': [{'code': 'switch', 'value': 'OFF'}, {'code': 'temp_set', 'value': 23}, {'code': 'mode', 'value': 'AUTO'}]}",atuador,"['Andre', 'Vinicius']",Vinicius,ACORDAR_QUARTO_02,2024-09-20 07:02:12.720891,QUARTO_02
13,QUARTO_02_SENSOR_PRESENCA-013,disp19d98bb3c39ebde5faba20a3d40390e8,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,ACORDAR_QUARTO_02,2024-09-20 07:02:21.455033,QUARTO_02
14,SALA_SENSOR_PRESENCA-003,disp2414e15a44146d1fbbcd2e0da20d8cfa,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'ON'}, {'code': 'human_motion_state', 'value': 'LARGER_MOVE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,USAR_BANHEIRO,2024-09-20 07:02:21.868104,SALA
15,SALA_SENSOR_PRESENCA-003,disp2414e15a44146d1fbbcd2e0da20d8cfa,0s9d8f9s0d8f0s9df8s0f8,"{'status': [{'code': 'presence_state', 'value': 'OFF'}, {'code': 'human_motion_state', 'value': 'NONE'}]}",sensor,"['Andre', 'Vinicius']",Vinicius,USAR_BANHEIRO,2024-09-20 07:02:25.963647,SALA
