nome_modelo,index_cenario,dia_dados,dia_experimento,tempoMedioInferencia,deviceMacroF1PerDevice,mediaMicro,matrizConfisao
ARFClassifier,0,20,1,0.0,{},0.0,
ARFClassifier,0,21,2,2.509349590909091,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 60.71%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 43.59%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 21.43%}",0.4735042735042735,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0    10     0  
    5.0     8     4  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0     3     3  
    4.0     9     7  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0     0     3  
    5.0     5     3  "
ARFClassifier,0,22,3,3.096921895522388,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 69.26%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 60.57%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 61.90%}",0.6805254863182675,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0    39     5  
    5.0    12    11  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0     5     8  
    4.0     9    45  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0     4     4  
    5.0     9    39  "
ARFClassifier,0,23,4,3.8196999674796737,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 75.46%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 62.68%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 70.21%}",0.7257350437855654,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0    80     7  
    5.0    16    20  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0     8    16  
    4.0    10    89  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0     9     8  
    5.0    10    85  "
ARFClassifier,0,24,5,3.771645405228755,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 76.68%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 64.02%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 71.64%}",0.733181703213249,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0    98     8  
    5.0    20    27  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    11    20  
    4.0    12   110  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    13    10  
    5.0    13   106  "
ARFClassifier,0,25,6,3.888929119999998,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 75.60%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 65.05%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 70.29%}",0.735893978853132,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0   110     8  
    5.0    26    31  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    14    25  
    4.0    12   124  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    13    12  
    5.0    14   125  "
ARFClassifier,0,26,7,4.04027885520362,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 75.79%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 69.41%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 72.60%}",0.7685874354089532,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0   146     9  
    5.0    31    35  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    27    31  
    4.0    17   146  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    15    13  
    5.0    14   168  "
ARFClassifier,0,27,8,4.1537233238866405,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 76.15%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 71.77%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 74.58%}",0.7833438190201558,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0   161    12  
    5.0    33    41  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    34    33  
    4.0    18   162  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    17    13  
    5.0    14   192  "
ARFClassifier,0,28,9,4.103022514814814,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 76.36%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 71.63%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 73.69%}",0.7775491948010871,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0   170    12  
    5.0    39    49  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    37    38  
    4.0    18   177  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    20    18  
    5.0    15   206  "
ARFClassifier,0,29,10,4.4192290092307704,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 77.70%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 73.75%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 76.15%}",0.7973080023668004,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0   212    14  
    5.0    42    57  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    44    42  
    4.0    18   221  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    24    19  
    5.0    15   256  "
