nome_modelo,index_cenario,dia_dados,dia_experimento,tempoMedioInferencia,deviceMacroF1PerDevice,mediaMicro,matrizConfisao
HoeffdingTreeClassifier,0,20,1,0.0,{},0.0,
HoeffdingTreeClassifier,0,21,2,0.13374445454545456,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 67.58%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 49.05%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 34.19%}",0.528157894736842,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0     9     1  
    5.0     6     6  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0     4     2  
    4.0     9     7  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0     3     0  
    5.0     7     1  "
HoeffdingTreeClassifier,0,22,3,0.16591623880597015,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 69.55%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 60.62%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 63.58%}",0.6647986057869778,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0    36     8  
    5.0    10    13  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    10     3  
    4.0    20    34  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0     7     1  
    5.0    15    33  "
HoeffdingTreeClassifier,0,23,4,0.17358786991869918,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 75.61%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 60.58%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 71.68%}",0.7049253577363624,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0    77    10  
    5.0    14    22  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    18     6  
    4.0    36    63  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    14     3  
    5.0    19    76  "
HoeffdingTreeClassifier,0,24,5,0.1949259215686274,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 75.43%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 60.84%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 69.06%}",0.6954219744779917,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0    90    16  
    5.0    16    31  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    24     7  
    4.0    46    76  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    18     5  
    5.0    27    92  "
HoeffdingTreeClassifier,0,25,6,0.2091423428571428,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 76.04%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 62.25%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 68.60%}",0.7014183867613548,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0    99    19  
    5.0    18    39  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    31     8  
    4.0    52    84  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    20     5  
    5.0    32   107  "
HoeffdingTreeClassifier,0,26,7,0.22048649773755655,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 78.40%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 62.91%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 70.72%}",0.7222044203084181,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0   135    20  
    5.0    20    46  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    50     8  
    4.0    71    92  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    22     6  
    5.0    33   149  "
HoeffdingTreeClassifier,0,27,8,0.2320182874493927,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 79.34%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 63.36%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 71.61%}",0.7289542136215368,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0   151    22  
    5.0    21    53  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    59     8  
    4.0    80   100  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    24     6  
    5.0    35   171  "
HoeffdingTreeClassifier,0,28,9,0.23494112962962965,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 80.13%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 63.31%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 72.72%}",0.7275714461234484,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0   159    23  
    5.0    24    64  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    67     8  
    4.0    89   106  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    30     8  
    5.0    38   183  "
HoeffdingTreeClassifier,0,29,10,0.24318577538461533,"{'dispe3d457f8ccadfa505c7579f0d2a7f630': MacroF1: 80.81%, 'dispf34127e9d687887832c76c7fed087a61': MacroF1: 61.51%, 'disp4af167c9d4df8acd2894e2f77c7aec28': MacroF1: 73.91%}",0.7259955182546112,"dispe3d457f8ccadfa505c7579f0d2a7f630
          2.0   5.0  
    2.0   199    27  
    5.0    26    73  

dispf34127e9d687887832c76c7fed087a61
          1.0   4.0  
    1.0    76     8  
    4.0   114   127  

disp4af167c9d4df8acd2894e2f77c7aec28
          2.0   5.0  
    2.0    34     9  
    5.0    41   230  "
